company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
empresas cmpc sa,CMPC,Chile,2025-04-24 00:00:00,1950863,Annual,4,Appoint Auditors and Risk Assessment Companies,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
empresas cmpc sa,CMPC,Chile,2025-04-24 00:00:00,1950863,Annual,5,Elect Directors,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
empresas cmpc sa,CMPC,Chile,2025-04-24 00:00:00,1950863,Annual,8,Other Business,Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,ESG_ambiguous,ESG_ambiguous
empresas cmpc sa,CMPC,Chile,2024-04-25 00:00:00,1845643,Annual,4,Appoint Auditors,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
empresas cmpc sa,CMPC,Chile,2024-04-25 00:00:00,1845643,Annual,8,Other Business,Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,ESG_ambiguous,ESG_ambiguous
empresas cmpc sa,CMPC,Chile,2023-04-27 00:00:00,1741750,Annual,d,Appoint Auditors and Designate Risk Assessment Companies,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
empresas cmpc sa,CMPC,Chile,2023-04-27 00:00:00,1741750,Annual,g,Other Business,Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,ESG_ambiguous,ESG_ambiguous
empresas cmpc sa,CMPC,Chile,2022-04-28 00:00:00,1633537,Annual,d,Appoint Auditors and Designate Risk Assessment Companies,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
empresas cmpc sa,CMPC,Chile,2022-04-28 00:00:00,1633537,Annual,e,Elect Directors,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
empresas cmpc sa,CMPC,Chile,2022-04-28 00:00:00,1633537,Annual,h,Other Business,Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,ESG_ambiguous,ESG_ambiguous
empresas cmpc sa,CMPC,Chile,2021-04-29 00:00:00,1529646,Annual,d,Appoint Auditors and Designate Risk Assessment Companies,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
empresas cmpc sa,CMPC,Chile,2021-04-29 00:00:00,1529646,Annual,g,Other Business,Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,ESG_ambiguous,ESG_ambiguous
